generation,best_fitness,mean_fitness,worst_fitness,std_fitness,best_x1,best_x2,num_crossovers,num_mutations,best_fitness_so_far
60,0.05116171862174257,0.15982023729057843,2.267724842064052,0.37666791793177523,-0.0018468201023286307,0.015647356615091253,18,2,0.05116171862174257
61,0.04084266811205284,0.20998069186008686,3.2490556961846377,0.5511108896092983,-0.0018468201023286307,-0.012747189097307397,22,4,0.04084266811205284
62,0.04084266811205284,0.1977229388804507,3.207354152485927,0.4835085677622428,-0.0018468201023286307,-0.012747189097307397,15,1,0.04084266811205284
63,0.04084266811205284,0.23917552117510305,2.5941981518673,0.4915741241926124,-0.0018468201023286307,-0.012747189097307397,21,3,0.04084266811205284
64,0.04084266811205284,0.17034887254761905,2.2469132007886086,0.3625630067127475,-0.0018468201023286307,-0.012747189097307397,22,2,0.04084266811205284
65,0.04084266811205284,0.10831923567364818,0.3604269754377829,0.09502070782144509,-0.0018468201023286307,-0.012747189097307397,17,1,0.04084266811205284
66,0.04084266811205284,0.17390046775981688,2.6702351901104078,0.5031262084210719,-0.0018468201023286307,-0.012747189097307397,20,2,0.04084266811205284
67,0.04084266811205284,0.11289892684070033,1.2508142998369505,0.21739419598480078,-0.0018468201023286307,-0.012747189097307397,21,2,0.04084266811205284
68,0.04084266811205284,0.06808794493300882,0.2554164072120817,0.048018284431057476,-0.0018468201023286307,-0.012747189097307397,19,0,0.04084266811205284
69,0.04084266811205284,0.2568472741226843,3.2565589754303557,0.7496283696389978,-0.0018468201023286307,-0.012747189097307397,21,5,0.04084266811205284
70,0.04084266811205284,0.13465978139264848,3.252292911402002,0.4549784543563732,-0.0018468201023286307,-0.012747189097307397,19,1,0.04084266811205284
71,0.04084266811205284,0.186044335162359,4.071596383803957,0.5872203355230229,-0.0018468201023286307,-0.012747189097307397,20,2,0.04084266811205284
72,0.04084266811205284,0.1779475992569619,3.145027081516844,0.5744143331174756,-0.0018468201023286307,-0.012747189097307397,20,2,0.04084266811205284
73,0.04084266811205284,0.1180225736235959,2.7328668243367287,0.37501914462126656,-0.0018468201023286307,-0.012747189097307397,20,1,0.04084266811205284
74,0.04084266811205284,0.06494878925157453,0.14427454011112717,0.03540177929660343,-0.0018468201023286307,-0.012747189097307397,21,0,0.04084266811205284
75,0.04084266811205284,0.08539619339229873,1.6087100482044439,0.22114457787989922,-0.0018468201023286307,-0.012747189097307397,14,2,0.04084266811205284
76,0.015712625676908676,0.15529767438355407,2.9212196847797363,0.4696299882951517,-0.0018468201023286307,0.004958947112135738,18,5,0.015712625676908676
